,model_name,fit_time,scoring_time,mean_absolute_error,training_r^2_score,testing_r^2_score,validation_r^2_score,training_mse_score,testing_mse_score,validation_mse_score
0,K-Nearest,0.03132605299999991,3.6329079159999997,37126.12607831734,0.9623896931943818,0.9187055558169546,0.9694065895749961,155115385.48863038,279174030.9681869,99121496.63874494
1,LinearRegressor,0.017933680000002283,0.0019262429999997721,37649.73838175272,0.9751786753732983,0.9712578156118711,0.9839467629816366,102370059.29539886,98703811.25181912,52011882.854883835
2,SVR,18.263765724999995,3.464244776000001,27571.47030758218,0.32344941812742856,0.3264398964456502,0.34788640084092126,2790283122.4456987,2313079215.90827,2112823481.5657487
3,DecisionTree,0.032883019000003344,0.0034727159999974333,37487.179050135426,0.9902089101869481,0.975736094773936,0.9894789124511214,40381182.704908974,83324909.8024228,34087927.09359988
4,RandomForest,2.4276921510000022,0.13096164599999582,37430.036635210054,0.9906345399227565,0.9864375085896344,0.9941506649252945,38625767.071461365,46575081.91430412,18951625.166720837
